test_ID,test_file,has_requires,has_ensures,#_char,#_hint_char,#_lemma,#_function,#_method,verifies_without_hints
000,630-dafny_tmp_tmpz2kokaiq_Solution.dfy,True,True,781,89,0,1,1,False
001,703FinalProject_tmp_tmpr_10rn4z_DP-GD.dfy,True,False,1452,231,0,0,1,True
002,703FinalProject_tmp_tmpr_10rn4z_gaussian.dfy,True,False,1028,274,0,1,1,True
003,AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary.dfy,True,True,9500,1745,14,7,3,False
004,AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring.dfy,True,True,10254,3595,5,0,2,False
005,AssertivePrograming_tmp_tmpwf43uz0e_MergeSort.dfy,True,True,8317,2358,10,0,9,False
006,BPTree-verif_tmp_tmpq1z6xm1d_Utils.dfy,True,True,12308,2192,15,3,5,False
007,BinarySearchTree_tmp_tmp_bn2twp5_bst4copy.dfy,True,True,4471,87,0,0,8,False
008,CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park.dfy,True,True,11417,1558,0,0,16,True
009,CS494-final-project_tmp_tmp7nof55uq_bubblesort.dfy,True,True,2804,636,0,0,2,False
010,CS5232_Project_tmp_tmpai_cfrng_LFUSimple.dfy,True,True,5146,1105,0,0,4,False
011,CS5232_Project_tmp_tmpai_cfrng_test.dfy,False,True,394,57,0,0,1,False
012,CSC8204-Dafny_tmp_tmp11yhjb53_stack.dfy,True,False,681,79,0,4,2,True
013,CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1.dfy,True,False,7537,414,0,0,16,True
014,CVS-Projto1_tmp_tmpb1o0bu8z_Hoare.dfy,True,True,1796,286,0,2,6,False
015,CVS-Projto1_tmp_tmpb1o0bu8z_fact.dfy,False,True,1463,215,5,5,0,True
016,CVS-Projto1_tmp_tmpb1o0bu8z_proj1_proj1.dfy,True,True,1710,177,1,2,3,False
017,CVS-Projto1_tmp_tmpb1o0bu8z_searchSort.dfy,True,False,1100,49,0,0,2,True
018,CVS-handout1_tmp_tmptm52no3k_1.dfy,True,True,1843,108,1,1,3,False
019,CVS-handout1_tmp_tmptm52no3k_2.dfy,True,True,1448,221,0,2,2,False
020,Clover_abs.dfy,False,True,146,0,0,0,1,True
